100
68 176
18 24 668
18 30 366
2 23 701
3 22 714
32 12 212
28 18 105
30 4 831
3 31 826
27 33 452
9 5 309
29 4 930
18 12 641
23 5 614
21 30 513
30 7 228
2 4 651
25 32 155
10 17 836
11 33 847
20 8 581
12 11 82
31 17 114
27 23 823
31 8 359
1 18 947
6 13 774
24 28 514
25 29 286
33 12 727
22 24 434
31 18 666
2 30 387
11 2 59
1 33 214
12 20 416
33 13 483
9 18 827
4 22 322
11 18 750
24 14 228
16 25 125
33 11 615
25 24 848
19 33 386
26 1 972
33 27 898
28 8 859
32 8 213
33 16 938
32 13 745
3 32 317
33 6 469
25 6 573
1 22 650
13 33 316
5 4 960
29 17 268
12 6 419
2 33 610
16 21 716
28 5 277
10 32 8
1 15 636
29 33 839
16 14 82
7 9 361
29 26 158
29 10 858
13 17 160
11 25 193
9 23 696
2 6 653
7 26 845
18 7 276
15 24 565
23 26 19
26 2 568
22 13 889
3 26 584
1 24 490
21 19 241
14 11 592
26 11 179
14 18 185
24 31 221
7 2 695
17 18 808
1 21 929
5 18 331
16 20 121
30 8 10
18 10 977
30 1 867
6 32 518
2 14 619
29 1 79
13 20 113
26 17 279
28 9 232
12 22 633
29 23 42
25 18 416
20 10 456
26 4 863
24 10 879
27 18 918
32 31 751
14 13 120
32 10 275
14 5 104
31 27 497
5 20 734
4 24 754
29 7 990
16 24 476
28 21 452
32 15 56
15 11 372
32 17 955
30 19 480
11 23 668
12 2 999
15 33 50
2 7 378
17 33 412
21 15 175
24 32 107
10 14 961
33 7 135
15 25 84
25 22 179
27 12 462
24 2 597
19 27 26
1 7 168
26 18 115
8 29 95
4 16 697
17 19 556
18 8 896
30 24 727
17 31 841
17 30 769
12 24 926
8 14 701
25 21 242
21 28 642
28 29 896
10 9 506
15 26 187
15 32 267
5 16 802
7 25 470
19 28 162
7 13 749
16 18 121
22 3 21
26 6 966
2 15 807
21 5 387
9 16 105
19 2 193
22 5 339
27 3 394
5 3 229
6 1 172
15 19 765
5 33 558
4 18 283
30 3 937
3 24 931
6 8 932
30 15 196
15 16 161
27 17 364
18 20 956
32 27 298
1 23 859
32 16 206
6 33 219
29 27 366
26 22 398
9 31 198
7 14 776
9 15 401
29 12 916
22 18 536
16 11 724
29 30 608
10 30 469
20 33 402
3 29 140
33 21 404
33 2 206
24 29 276
6 26 857
3 25 905
31 26 593
8 31 523
20 30 176
19 23 568
6 15 812
7 27 215
2 5 893
23 24 58
15 29 610
1 20 47
6 14 396
24 25 510
31 33 909
4 3 363
11 32 233
17 28 796
17 26 322
13 31 244
7 5 798
15 27 220
23 25 663
14 2 687
21 6 598
7 20 514
25 27 564
12 31 54
5 2 960
32 22 310
8 22 912
28 27 617
26 23 377
4 30 406
4 13 770
21 17 296
6 5 806
14 20 737
9 32 354
14 12 112
8 13 692
13 30 890
12 30 841
17 9 220
29 28 50
3 13 967
13 12 385
6 3 508
22 15 623
18 21 10
23 14 56
30 12 948
21 7 385
31 20 166
2 1 556
6 9 485
23 30 482
19 12 163
22 29 91
25 7 318
17 22 344
11 15 156
3 30 708
7 21 596
24 21 3
12 32 195
26 15 482
15 22 851
10 7 312
10 20 141
29 8 470
25 4 440
8 11 953
25 33 214
13 1 941
28 30 482
23 16 580
21 2 671
9 28 541
10 18 719
15 2 788
6 20 173
23 7 528
29 6 418
26 33 575
31 12 706
8 7 20
14 1 881
6 24 824
25 16 154
5 9 46
1 12 984
27 14 680
12 14 996
19 13 585
5 1 825
10 19 46
24 7 670
31 16 377
1 9 726
21 22 64
27 2 396
26 31 917
24 15 588
15 3 671
9 29 98
5 17 286
13 14 380
4 10 840
28 15 657
22 17 337
21 14 711
23 20 699
25 9 780
9 2 661
19 16 821
19 22 723
13 6 664
27 15 134
6 2 342
22 10 348
22 19 843
23 13 793
22 26 507
26 25 627
13 16 416
29 24 501
22 32 477
4 26 741
8 3 893
17 7 63
16 22 97
1 29 381
20 27 635
20 24 97
31 23 289
17 1 658
2 18 458
19 32 229
8 27 265
18 15 619
1 30 550
6 7 15
24 8 837
8 12 942
17 16 271
13 18 462
32 29 220
20 4 666
21 11 234
13 23 433
10 29 817
16 23 130
30 27 172
7 12 482
5 15 438
11 10 134
25 3 551
7 32 709
22 1 897
9 22 772
18 6 320
14 10 714
29 9 731
29 5 207
32 6 38
31 1 798
25 26 605
3 10 344
33 23 247
17 6 868
15 17 399
14 6 60
12 5 888
6 25 330
13 27 872
20 22 770
2 32 973
19 9 797
19 11 948
14 21 122
16 7 307
29 25 390
4 11 646
1 3 22
17 15 935
15 13 1000
29 20 231
18 16 962
18 28 519
18 19 573
16 15 496
25 5 13
4 25 740
1 4 676
16 28 578
1 28 670
21 25 303
11 16 599
28 19 290
18 23 281
12 27 183
3 11 851
32 11 768
9 21 789
31 24 504
2 3 221
13 2 745
2 8 834
8 2 356
2 9 743
21 24 789
30 14 271
6 22 2
7 3 884
5 28 640
7 15 116
26 32 860
17 12 105
10 21 216
29 2 457
11 29 554
18 32 950
10 1 502
27 32 166
10 6 832
3 1 895
33 15 141
23 12 110
30 10 630
20 19 710
14 25 414
1 16 494
3 15 512
11 6 604
3 17 417
33 31 185
12 29 426
6 12 10
29 18 883
16 4 343
20 2 419
26 28 509
17 27 373
30 13 801
16 17 764
23 17 213
8 15 455
33 26 149
32 18 846
24 3 619
18 31 836
31 4 224
10 26 128
32 25 72
27 31 50
1 8 363
5 12 478
23 22 538
13 24 686
13 10 689
28 20 207
8 32 193
26 29 654
19 24 912
5 13 740
30 18 471
8 9 189
27 21 901
13 5 59
24 23 72
2 31 326
14 23 655
24 18 341
19 18 563
32 20 150
8 18 420
27 19 413
22 31 465
5 23 9
27 29 91
33 20 911
31 3 734
28 1 411
9 20 331
29 13 516
3 14 45
6 27 876
16 5 971
19 21 276
21 1 638
25 2 692
22 20 310
9 1 68
14 17 861
3 18 682
10 11 632
15 8 583
14 15 993
24 4 961
12 28 955
18 3 495
30 23 955
12 10 54
28 17 655
25 12 522
24 22 855
1 10 803
13 19 817
9 26 698
24 27 363
31 22 692
25 20 517
3 8 324
12 1 178
31 21 387
31 7 789
21 9 684
11 22 192
28 12 772
9 4 900
19 17 375
2 21 256
16 32 338
21 10 997
2 20 397
9 25 471
6 4 49
28 2 61
28 7 549
17 32 418
30 33 224
17 21 635
25 1 791
31 32 953
9 12 116
26 21 716
21 8 648
7 11 427
23 2 497
4 19 706
14 28 417
11 21 878
20 9 411
3 4 530
8 6 717
26 3 548
24 12 901
21 16 24
14 22 570
14 16 846
21 27 214
15 1 747
26 20 331
5 14 733
6 17 616
28 26 336
29 11 96
7 31 282
8 20 932
8 25 889
22 4 355
23 28 367
18 11 574
20 23 762
17 24 110
20 3 898
19 3 208
24 33 892
23 4 109
21 18 216
31 10 448
14 26 864
22 12 688
28 22 537
23 15 122
19 31 616
10 16 818
17 5 745
29 21 830
14 8 540
26 16 103
16 31 838
33 8 232
7 28 733
31 30 262
18 2 933
27 25 593
1 17 718
3 5 292
30 11 870
16 12 843
9 8 452
11 19 379
24 26 417
27 10 459
20 13 674
21 13 918
27 13 820
23 27 981
1 13 233
7 30 405
15 4 293
7 6 677
22 7 259
11 27 272
13 9 470
20 28 735
28 3 194
7 16 575
8 23 245
10 5 85
32 3 827
23 31 542
2 24 492
13 8 218
8 1 376
27 28 386
9 7 693
30 17 601
13 11 978
16 2 274
1 11 998
10 27 113
16 26 469
4 8 652
16 9 268
3 19 225
8 30 893
23 9 116
26 12 162
19 5 330
31 5 925
3 6 57
10 4 676
25 14 252
10 8 33
16 33 453
11 20 178
3 2 566
19 29 177
33 9 517
21 12 73
9 30 716
10 13 306
5 29 944
20 1 975
19 8 867
24 13 277
11 26 868
12 16 940
11 12 8
21 20 158
26 10 875
6 18 786
19 14 917
6 16 614
33 28 549
22 11 928
31 9 205
21 31 94
4 6 152
22 21 941
15 31 515
27 4 424
27 6 66
18 5 71
11 24 700
33 3 592
5 24 242
32 23 933
33 14 813
29 15 462
13 4 161
20 7 925
8 10 344
8 21 438
24 9 548
18 22 466
20 18 682
9 17 174
33 19 336
22 16 155
13 21 859
13 15 173
12 9 383
22 27 457
9 6 581
5 21 636
6 28 522
20 21 945
11 30 388
21 23 622
2 27 907
26 5 97
15 5 431
32 7 366
30 29 23
4 20 31
9 11 496
1 5 716
29 19 815
2 10 274
5 32 121
17 11 622
7 22 569
4 29 931
25 31 371
18 29 369
9 27 844
14 31 182
12 26 28
17 29 478
7 29 383
4 32 966
12 8 459
7 18 12
30 25 44
20 31 295
11 4 203
11 9 862
26 19 305
10 24 488
32 1 776
24 16 362
5 30 808
9 19 450
27 20 477
6 21 390
15 23 336
13 26 569
4 21 816
5 7 766
30 26 627
29 3 400
4 27 977
32 19 541
11 28 577
25 17 314
27 11 721
6 10 576
15 28 326
15 12 647
15 7 797
28 13 214
26 8 408
22 30 940
19 30 147
27 26 309
17 25 470
16 8 706
23 6 807
31 2 321
27 7 554
10 15 61
9 24 720
32 4 977
33 30 956
27 22 561
14 9 903
13 3 631
12 25 168
14 3 189
23 21 271
31 14 764
16 13 664
7 10 404
33 29 497
33 10 954
2 25 313
32 26 238
18 1 695
2 29 105
14 30 710
7 1 966
27 30 583
29 14 346
23 33 194
8 4 515
1 2 88
16 30 938
28 24 86
28 33 745
24 6 66
25 11 888
18 25 1
24 30 6
8 19 679
28 11 605
27 1 444
28 23 682
12 13 553
21 33 29
22 14 534
6 30 562
19 25 333
11 14 679
14 33 921
26 30 630
2 17 701
23 29 163
24 17 141
7 23 301
17 3 307
26 13 745
15 18 620
7 19 488
11 31 259
12 33 601
1 27 551
31 28 948
24 19 789
20 14 427
17 13 523
24 1 970
8 28 903
29 16 565
28 16 208
32 2 477
1 32 42
16 6 656
7 4 621
25 23 15
11 32
6 3 705
4 10 889
8 2 368
6 10 224
5 1 380
5 11 380
9 7 599
10 8 880
11 1 231
6 4 13
8 3 699
5 10 538
9 8 337
11 10 433
3 5 500
11 4 154
7 2 312
10 4 692
5 8 11
1 4 785
2 1 210
6 1 645
6 9 803
2 9 68
5 2 32
1 6 308
9 5 661
2 11 674
3 9 516
7 5 183
2 4 894
1 8 967
4 9
2 4 898
3 1 175
4 2 337
4 1 361
3 2 314
4 3 298
1 4 304
1 3 760
2 1 275
96 3348
7 23 680
29 27 465
13 37 462
41 87 480
61 80 621
20 74 440
62 63 402
40 21 5
8 15 200
56 12 593
47 16 693
13 33 517
94 68 388
68 2 124
17 64 296
63 47 27
3 40 468
47 59 948
72 10 224
79 14 14
81 16 645
74 20 216
25 91 563
12 56 68
1 53 934
84 56 869
34 53 61
30 93 893
12 23 126
51 13 376
43 39 869
41 53 323
24 79 915
56 28 638
73 71 730
79 18 113
19 46 512
77 38 825
75 17 441
74 22 697
55 50 249
50 12 371
68 30 494
70 37 238
72 9 87
60 64 410
59 22 926
90 71 858
16 61 147
13 71 942
88 36 32
46 41 680
53 15 94
24 3 749
22 54 253
46 42 625
2 33 146
28 61 893
1 9 589
67 59 266
45 40 756
46 82 291
27 61 277
10 1 679
84 88 937
17 66 433
22 63 631
93 4 385
96 80 209
96 91 405
57 31 31
26 51 499
6 94 515
90 96 797
80 13 56
30 32 208
4 14 588
58 41 879
35 82 545
65 56 214
87 6 670
67 24 302
32 52 741
81 79 412
56 4 45
57 5 375
93 23 412
81 25 564
89 6 785
96 50 655
47 92 403
25 55 283
72 18 360
70 38 823
31 61 959
93 60 724
7 46 94
37 89 482
39 90 733
93 73 413
37 92 668
87 56 780
12 15 717
69 94 961
35 32 735
43 89 478
28 66 944
86 88 459
74 65 546
84 85 68
50 54 254
43 27 208
95 93 505
81 52 906
92 85 22
1 15 347
67 70 424
57 39 709
91 39 717
29 77 204
65 67 553
6 49 260
9 75 884
64 60 899
12 71 850
84 9 62
40 61 440
26 64 611
94 13 862
12 49 420
68 4 675
15 42 506
32 49 347
17 24 509
39 57 630
1 35 328
17 16 661
10 25 119
17 31 178
29 50 451
65 71 368
43 19 968
81 75 444
55 30 121
58 75 192
59 45 224
44 85 567
42 39 491
90 44 567
60 54 476
25 57 846
92 95 559
89 91 769
60 31 701
94 17 444
80 7 30
11 26 401
24 33 290
78 86 308
46 35 786
93 87 262
95 85 830
50 18 497
3 71 695
86 46 950
67 47 200
87 77 318
47 79 274
56 3 514
91 32 214
52 49 581
19 56 422
74 49 456
54 58 821
40 18 940
89 37 597
92 16 647
36 34 547
21 2 325
79 63 723
51 9 648
72 52 537
34 7 161
95 88 23
53 23 35
39 83 394
15 12 993
92 60 508
62 96 896
32 44 634
47 7 672
94 10 514
89 22 681
86 69 960
87 35 318
41 78 659
32 1 444
87 14 562
91 65 950
19 92 33
16 50 372
80 37 801
80 76 631
55 84 475
3 57 131
57 84 227
30 22 831
51 64 228
64 39 235
35 76 459
81 15 880
36 88 254
22 32 484
1 38 581
20 90 465
51 67 151
64 71 841
29 3 754
70 71 229
29 6 780
14 36 297
68 77 886
34 11 866
93 10 774
4 44 655
13 36 617
48 51 365
62 15 608
5 58 11
90 67 389
48 36 411
96 24 993
28 72 368
76 91 162
74 2 274
19 74 660
32 24 763
55 35 830
10 21 902
58 81 35
68 16 405
94 91 990
5 31 62
42 79 190
88 82 738
59 17 192
16 59 459
63 14 537
50 59 1
56 26 891
39 94 989
58 29 742
45 14 280
96 28 939
64 41 940
59 56 877
30 64 497
95 72 586
61 62 358
81 37 564
66 95 588
30 24 53
12 94 934
70 61 502
96 68 589
31 37 141
69 46 385
93 68 127
21 30 729
45 21 340
8 66 690
52 71 476
84 48 402
1 59 595
12 79 229
72 29 568
46 78 675
35 45 875
52 15 843
50 29 569
19 3 820
65 55 795
9 38 439
66 70 935
25 48 635
22 38 799
2 53 52
38 6 190
80 59 137
26 42 186
66 53 818
96 26 53
81 77 753
90 61 345
83 1 813
21 87 454
85 96 973
80 22 823
44 64 966
23 22 865
92 88 8
72 77 603
74 93 199
8 49 515
85 48 809
85 67 413
70 7 61
7 48 105
5 92 181
78 52 985
6 78 665
63 92 886
96 25 891
17 52 283
73 74 455
11 8 631
52 42 860
9 29 157
89 47 644
21 23 507
92 65 511
11 37 585
14 28 795
68 22 584
21 38 892
15 57 513
95 15 81
5 27 751
14 23 433
27 92 844
64 35 635
62 89 641
59 70 771
23 76 615
17 69 737
87 7 741
28 52 763
2 52 102
93 24 732
48 68 209
32 85 626
88 56 29
87 80 122
23 42 853
78 74 726
33 43 662
37 17 559
90 70 165
2 87 516
12 25 617
39 21 865
10 95 940
83 86 538
52 1 952
8 38 807
87 18 860
7 9 886
26 70 291
23 56 686
38 1 771
15 54 675
47 34 905
88 44 17
6 87 284
86 48 763
30 80 779
66 68 117
65 12 761
89 35 973
54 94 201
8 34 837
59 12 691
95 90 221
67 73 754
4 47 499
63 96 330
14 91 980
61 10 468
72 45 631
22 29 661
81 82 491
19 52 641
37 7 822
67 25 329
45 80 42
82 34 557
36 32 559
63 39 866
69 1 701
83 84 290
17 48 538
41 23 325
49 89 391
4 7 553
77 68 201
51 17 136
80 35 879
52 78 471
62 46 185
57 83 1
32 80 866
9 25 26
26 86 43
55 76 53
9 58 929
37 21 56
28 47 593
5 20 147
47 9 852
29 46 357
57 43 690
85 60 948
3 42 367
93 86 909
39 23 794
9 31 668
14 51 286
79 26 82
12 53 243
38 12 570
30 77 892
24 47 120
33 92 526
66 24 122
40 48 772
53 10 21
73 82 591
9 32 335
16 4 908
88 68 277
26 28 193
55 6 929
26 75 425
71 39 888
7 33 28
92 62 264
3 51 902
24 34 993
82 38 142
83 15 927
68 86 941
4 13 177
1 14 784
14 41 573
64 85 818
27 21 153
96 67 478
42 9 735
58 11 657
93 63 497
78 39 785
75 20 457
91 28 684
76 66 206
27 40 445
49 19 433
23 72 12
14 7 486
86 62 879
48 24 180
61 18 544
24 84 541
89 39 620
61 66 549
64 91 778
33 6 962
90 64 546
39 3 449
6 3 312
80 6 803
77 5 265
79 24 535
74 62 621
77 26 354
89 63 881
16 47 85
94 37 531
40 11 637
11 62 760
57 20 651
52 16 937
36 87 748
59 18 445
59 87 681
26 35 461
28 32 330
68 38 55
59 65 164
14 46 867
72 94 111
60 92 511
94 93 444
7 41 453
82 77 373
17 9 824
76 21 560
57 75 129
72 65 940
73 57 916
29 68 659
89 82 267
80 75 22
84 23 122
58 33 524
89 96 725
18 7 87
44 5 916
64 38 143
89 19 339
25 40 300
93 61 496
63 19 679
36 49 674
41 48 761
89 5 161
24 51 167
65 80 293
46 60 1
20 43 652
35 55 759
87 24 711
52 35 445
26 2 546
46 91 146
13 67 121
1 32 992
71 56 770
48 46 639
94 70 286
76 40 659
59 33 568
18 66 828
43 69 998
18 90 506
77 40 143
82 22 549
31 39 717
5 40 76
60 30 714
3 90 294
61 88 955
88 29 33
55 1 963
81 76 11
86 26 477
49 24 896
46 30 691
42 49 646
36 45 643
82 91 972
5 49 507
8 71 590
17 1 945
14 77 308
63 85 862
7 3 580
57 89 502
1 62 900
24 61 148
64 84 698
20 26 285
81 74 147
64 93 91
53 9 137
3 27 568
26 47 414
37 24 854
23 52 278
14 69 985
85 45 386
65 5 511
37 65 609
64 54 756
65 15 335
30 55 620
21 74 771
17 27 171
25 56 432
14 67 877
43 82 460
52 66 989
50 95 431
30 43 862
46 58 471
32 19 13
19 41 232
76 84 616
80 26 789
46 87 342
61 64 314
92 81 945
14 11 526
88 34 246
80 57 801
24 54 619
23 94 510
76 80 15
78 30 613
44 41 764
9 52 344
43 74 848
7 77 820
58 24 94
23 74 153
82 84 64
30 42 54
45 62 552
55 72 54
30 20 778
18 55 633
23 57 854
24 2 541
72 74 170
95 92 885
92 10 360
37 40 20
93 36 79
49 7 279
80 84 385
37 35 489
68 33 302
3 22 176
53 60 227
77 25 366
6 19 751
76 23 117
40 94 139
10 41 970
32 68 997
52 48 973
62 51 808
96 11 330
53 92 531
54 29 23
72 41 661
67 72 486
85 88 619
31 25 976
16 74 654
34 91 72
21 69 166
90 93 10
78 2 243
22 65 287
33 47 399
58 3 397
22 46 490
3 25 408
16 12 952
53 26 550
23 54 18
25 28 653
88 22 86
71 65 215
81 12 866
28 12 362
74 45 132
16 75 304
56 83 832
50 56 286
26 68 108
82 64 488
92 56 8
63 41 42
39 68 543
90 49 504
56 65 311
79 84 263
34 38 50
69 74 324
31 28 193
62 91 749
53 69 731
82 12 204
73 52 152
85 32 903
45 63 231
87 15 671
53 84 302
5 7 10
54 40 638
55 90 321
5 88 146
21 43 680
64 13 756
57 60 48
21 44 865
4 24 502
19 57 814
9 90 721
62 81 821
56 60 39
32 66 169
52 25 876
28 54 886
7 29 20
22 91 164
87 63 505
87 82 351
63 3 18
79 96 294
81 78 939
64 56 566
44 4 630
6 14 657
92 77 981
14 92 746
24 14 293
40 76 299
20 53 227
67 5 926
70 44 186
68 93 646
60 94 656
34 55 608
87 89 82
85 37 947
4 30 561
9 76 92
54 4 475
29 18 368
82 3 164
51 78 762
55 80 142
43 6 196
58 28 965
2 12 965
18 64 371
34 28 429
78 42 929
95 43 202
3 66 590
49 96 860
10 65 186
90 41 923
66 80 345
36 3 921
80 52 551
62 85 122
56 17 884
55 51 714
56 55 748
22 95 211
31 76 343
12 96 343
14 65 367
47 19 779
93 16 945
87 27 196
48 37 503
53 46 121
53 51 922
67 38 817
95 86 891
83 80 55
78 25 574
35 46 119
12 33 529
59 16 590
84 79 873
41 54 146
70 31 957
16 18 328
19 77 981
82 42 200
69 56 461
87 50 486
34 52 728
86 51 796
74 77 161
87 30 294
67 14 919
82 35 813
3 21 325
4 77 80
94 89 192
26 60 977
29 83 274
32 45 149
22 2 837
38 95 200
73 79 501
37 52 333
88 66 765
37 16 682
30 92 623
58 49 359
2 74 614
56 2 951
69 5 624
60 55 701
92 14 123
67 40 30
75 63 930
91 52 223
61 28 787
81 72 628
9 20 700
89 95 88
74 23 113
30 23 834
87 17 729
36 39 881
93 77 654
25 72 720
63 51 653
90 26 896
89 40 611
22 19 487
96 51 793
1 91 214
85 75 180
28 18 382
16 13 593
76 29 906
87 71 541
29 85 600
86 13 758
56 95 369
21 20 559
2 7 353
63 91 838
43 92 383
64 27 204
11 78 866
96 93 223
7 90 714
60 21 542
43 55 170
71 91 879
1 73 889
72 63 664
75 2 760
90 31 215
93 14 333
73 3 739
18 80 478
10 75 372
73 53 411
64 1 918
38 61 475
58 53 954
87 73 917
39 87 878
22 71 26
28 92 371
17 33 497
96 60 603
62 90 546
54 7 976
81 40 25
22 75 817
88 31 243
56 68 748
8 59 443
72 5 93
35 37 14
44 17 970
16 10 132
11 87 183
78 7 728
73 14 375
58 71 337
15 2 676
37 19 53
25 11 471
72 49 956
24 36 979
65 30 290
95 76 765
46 39 769
23 47 338
26 61 618
69 37 862
63 65 945
30 69 61
74 79 197
88 91 333
41 5 890
27 4 298
74 32 874
38 20 115
3 50 320
58 5 888
40 35 102
13 3 214
7 89 83
15 82 992
15 44 84
68 9 58
11 71 327
20 44 207
33 26 834
85 66 458
62 10 651
31 96 41
64 92 825
37 76 3
80 47 333
32 60 731
87 65 640
57 81 549
7 5 7
96 64 140
94 23 855
72 28 721
84 60 94
29 9 608
82 21 444
4 28 23
78 44 85
22 20 382
61 22 993
61 25 873
23 8 411
76 74 184
60 18 346
25 2 782
12 84 209
39 46 767
53 70 576
68 61 169
10 13 385
84 8 971
28 10 680
75 13 498
80 1 358
39 73 547
83 58 180
10 89 661
77 39 714
50 36 950
61 86 595
42 58 318
83 3 146
7 37 739
38 84 98
69 28 466
16 1 944
46 9 101
27 35 679
61 42 685
81 54 573
20 95 269
54 45 232
1 10 501
29 36 940
25 58 67
32 89 308
1 58 638
87 31 194
30 75 225
14 29 684
84 53 941
38 18 149
56 20 671
5 89 743
30 91 164
5 38 979
2 39 597
29 22 391
44 82 973
29 82 605
79 38 42
12 61 773
13 45 284
94 78 889
7 17 385
15 19 216
40 8 923
85 29 337
69 10 217
48 96 771
5 45 426
72 62 599
32 13 172
4 34 379
21 1 823
62 29 41
43 10 234
43 63 574
47 43 554
80 41 921
17 54 326
18 68 927
78 33 390
2 51 12
77 58 794
27 48 45
25 23 821
5 46 697
83 50 338
49 36 821
15 59 323
58 16 37
16 66 333
66 22 533
36 7 333
66 45 360
74 91 950
84 4 252
11 86 307
61 30 533
6 85 851
17 19 666
22 39 565
33 36 312
61 7 777
77 75 739
21 79 597
3 83 18
96 89 665
54 93 884
69 19 47
72 79 658
91 24 466
52 41 278
78 93 660
49 82 580
32 4 541
92 52 535
70 22 46
26 69 279
5 51 557
56 63 232
53 16 43
75 22 50
60 88 374
92 71 93
62 53 912
3 55 922
96 59 74
51 21 15
65 95 288
52 63 73
74 78 192
84 22 673
56 84 826
64 44 497
27 30 241
67 62 103
56 85 490
25 7 543
32 78 649
59 53 252
7 69 616
65 68 270
75 9 306
12 45 475
79 47 515
49 14 151
24 29 502
23 6 369
40 68 639
34 21 890
13 1 980
19 96 779
30 86 904
69 54 937
28 86 160
25 62 973
1 64 129
64 42 549
11 85 13
82 43 967
13 54 128
74 16 659
84 29 964
72 4 784
55 83 79
17 84 724
6 89 841
15 62 487
11 18 896
13 60 507
74 28 76
9 13 529
3 65 732
65 23 264
32 26 942
28 1 435
70 55 821
71 28 879
82 6 433
40 9 443
74 43 720
55 47 766
30 50 733
84 82 107
29 86 886
22 88 808
94 39 272
45 74 75
28 37 431
77 29 250
32 7 907
65 57 163
22 93 457
71 68 762
52 44 1000
63 18 389
9 72 210
63 17 85
93 79 6
50 46 565
28 83 65
37 71 290
5 34 960
81 80 417
17 50 199
72 85 395
2 67 621
25 70 447
79 69 372
20 79 272
53 3 569
35 73 40
95 69 506
31 49 366
50 67 576
40 32 230
4 83 867
19 72 204
8 48 870
34 31 502
83 22 979
19 71 800
67 94 289
2 4 300
12 89 123
91 57 904
60 52 74
63 71 28
2 42 910
14 48 956
29 54 901
79 1 890
74 60 410
91 62 632
28 39 173
19 67 526
23 53 859
85 40 561
66 72 34
42 83 265
38 17 649
42 41 886
79 7 428
42 23 101
61 69 803
32 43 156
33 44 356
19 44 631
21 54 730
64 53 496
38 53 128
52 24 504
6 62 377
89 62 284
8 90 245
62 19 97
37 61 394
31 68 328
13 96 273
69 34 262
6 47 420
80 89 353
69 18 819
95 36 374
82 41 395
30 95 964
79 2 448
32 82 924
65 4 16
91 9 804
66 85 123
85 68 305
47 30 311
17 81 654
68 34 967
96 44 308
94 29 732
19 43 972
18 16 399
27 50 903
9 78 999
65 36 833
31 16 156
37 82 541
1 25 915
84 5 369
69 47 194
10 78 995
48 71 275
30 81 477
35 23 111
93 62 923
28 93 422
59 2 446
84 77 982
16 15 417
87 26 500
51 7 12
17 35 963
95 37 23
85 77 16
37 86 213
74 59 676
61 49 934
89 11 800
93 42 500
2 54 326
79 70 81
21 78 780
13 77 789
87 9 754
85 2 620
93 34 327
6 50 275
84 28 222
78 76 417
