400
40 708
23 18 658
23 38 349
31 37 122
32 21 446
21 9 274
17 16 789
30 2 949
29 13 760
28 37 268
15 11 464
13 22 794
27 17 425
32 23 207
7 39 357
14 17 123
36 3 646
36 28 34
16 4 721
28 9 977
29 7 619
26 3 99
10 9 627
35 36 14
23 22 788
12 21 532
4 14 873
7 1 117
32 29 94
10 29 411
3 2 796
20 27 1
30 37 790
26 19 339
9 27 813
10 11 854
3 35 776
17 2 815
14 32 439
26 29 523
33 37 407
20 10 814
7 5 405
28 1 921
5 32 756
39 33 474
33 14 450
4 25 880
11 23 681
6 24 979
24 14 944
10 5 219
35 17 988
33 36 688
25 9 647
20 22 991
8 5 170
1 27 164
3 5 99
12 23 756
18 17 559
11 38 764
18 39 70
33 34 564
16 36 657
34 15 771
10 27 482
11 35 97
40 4 65
39 38 8
12 33 673
37 15 599
6 4 771
26 34 263
29 17 414
3 9 391
14 29 609
36 14 386
5 19 612
20 29 248
25 7 387
39 6 114
29 26 785
20 34 215
24 9 713
33 10 41
18 25 649
3 14 535
15 19 707
27 16 650
16 40 820
18 35 819
37 21 588
3 37 986
10 2 848
19 31 740
22 5 855
35 27 393
31 27 548
23 29 403
14 22 662
17 34 374
24 7 227
34 2 97
26 40 826
15 31 904
22 21 784
10 4 199
24 33 658
36 40 940
12 27 473
36 38 382
38 34 615
39 14 416
7 29 638
22 28 560
25 33 22
13 24 674
38 9 379
1 10 209
13 1 217
16 12 341
22 19 537
33 24 280
33 2 917
19 10 374
6 1 787
14 3 831
5 10 448
12 19 1000
26 2 773
6 37 265
40 16 856
5 26 350
28 2 574
2 39 64
28 25 905
16 37 80
10 6 579
35 16 81
32 28 979
10 40 559
28 34 460
1 39 257
35 39 50
31 20 678
32 3 193
36 2 243
32 1 479
25 12 190
23 6 652
27 36 172
27 9 767
1 25 590
33 15 884
9 23 315
17 25 774
27 12 15
40 20 587
32 11 274
38 27 241
16 5 250
23 10 623
21 37 158
11 24 231
3 38 70
8 26 684
16 22 463
9 18 144
10 32 201
15 35 344
29 28 357
37 17 15
26 1 363
27 26 973
38 4 693
17 3 541
22 33 934
14 2 109
11 40 719
35 32 643
17 23 231
17 31 291
12 31 627
24 4 322
38 1 21
8 11 975
38 10 729
35 33 219
20 28 295
19 11 852
13 36 843
32 40 686
37 27 978
13 34 21
27 34 705
28 39 936
17 20 894
12 9 79
13 20 149
5 17 906
29 32 505
38 2 29
38 13 103
14 30 845
8 12 767
31 2 701
28 38 937
1 13 796
11 1 928
22 30 754
36 32 189
31 38 16
14 25 234
20 6 383
15 12 828
35 22 221
20 24 311
12 2 167
28 18 724
27 10 445
10 37 515
24 28 37
27 3 682
31 10 829
40 29 300
19 12 812
2 15 463
2 7 469
7 22 79
22 14 750
2 12 527
17 18 169
34 18 752
20 35 453
30 20 93
10 22 919
33 16 44
14 8 801
16 24 21
39 12 443
14 7 24
19 18 15
12 14 175
8 28 58
18 24 783
11 36 888
29 19 376
22 40 417
16 20 729
39 13 322
18 20 156
25 27 891
15 1 583
16 33 111
7 36 851
40 30 969
21 12 237
25 6 60
29 24 503
16 32 406
38 37 612
22 39 184
36 9 127
2 28 290
4 33 782
12 11 226
36 37 100
18 11 235
34 14 932
9 37 741
37 28 366
18 19 373
31 32 675
3 34 39
24 3 548
4 4
4 1 569
2 1 400
1 2 777
4 2 686
42 956
27 19 21
14 30 805
31 20 399
23 9 509
11 39 223
29 10 326
34 23 572
21 8 445
17 19 370
28 35 880
33 22 14
37 7 506
18 5 422
20 27 191
34 33 633
1 25 352
22 10 985
12 8 584
31 5 972
24 31 871
18 34 474
16 41 431
36 18 331
40 27 92
15 19 599
30 1 134
38 3 686
42 10 881
21 14 165
21 15 191
25 41 941
34 25 568
24 34 800
23 17 708
28 7 719
18 40 568
30 18 638
35 18 169
21 6 14
3 17 275
4 9 654
32 11 8
33 31 840
33 14 254
8 19 774
29 19 195
38 23 425
5 2 367
18 4 795
20 26 159
10 32 920
4 14 176
17 3 334
4 15 361
23 18 503
5 14 654
31 36 461
13 39 658
34 32 254
9 37 79
29 42 938
2 4 449
28 32 542
23 28 523
34 39 976
29 7 727
3 19 75
1 10 349
3 31 667
20 39 722
38 17 945
8 5 810
38 7 41
14 29 83
11 26 636
34 15 692
15 18 695
6 33 812
34 30 36
30 17 419
13 15 793
11 15 362
23 21 976
10 2 444
32 39 842
29 2 205
11 32 233
1 12 132
24 14 299
1 13 596
13 2 703
15 12 758
30 36 933
36 21 956
11 18 859
41 7 666
32 40 441
37 30 224
8 13 537
1 16 286
42 25 486
7 39 616
40 39 555
28 1 484
21 22 992
32 29 493
31 7 22
24 13 329
33 18 258
6 15 469
16 11 293
36 9 851
3 33 215
7 30 770
19 38 643
27 22 939
29 38 894
15 7 644
11 28 994
20 37 782
19 22 242
29 16 450
3 24 579
32 26 366
2 8 274
28 6 306
38 19 994
2 38 214
9 6 667
9 5 589
19 36 907
17 9 640
14 2 919
36 14 981
41 24 423
26 36 556
11 25 955
2 9 204
20 35 382
30 33 636
8 37 88
2 37 329
20 16 80
6 37 153
8 27 194
4 39 796
12 2 990
1 6 311
27 38 852
28 23 491
18 12 293
33 41 835
21 12 255
19 12 981
24 12 311
42 28 346
37 9 950
38 27 104
13 16 171
26 12 490
36 6 561
15 16 866
41 37 931
42 31 187
26 40 977
20 38 824
29 17 211
30 9 600
21 40 393
5 42 7
34 9 315
12 5 606
16 8 606
9 13 713
25 30 635
8 18 921
35 2 522
25 7 763
39 7 481
6 19 494
14 18 58
4 33 21
37 13 374
23 36 854
10 28 702
12 22 732
32 33 139
19 15 615
18 20 147
2 5 671
12 18 628
15 6 464
37 18 551
38 14 7
21 33 305
36 40 167
2 16 779
19 1 892
34 38 593
14 42 981
34 42 704
40 7 467
22 41 670
28 9 225
15 42 90
6 30 370
17 13 406
30 15 626
16 33 302
9 38 438
12 42 771
40 13 942
40 20 877
30 4 173
10 31 190
35 36 279
30 25 872
25 4 501
40 12 969
33 30 502
3 21 355
19 9 669
14 27 582
2 20 200
30 29 145
15 2 677
21 37 78
37 39 145
8 31 521
30 32 667
10 1 130
14 32 355
13 21 803
20 32 5
14 6 703
26 3 785
38 1 829
7 12 390
39 15 358
25 17 108
30 20 779
22 2 505
39 36 166
9 14 137
32 22 924
24 3 718
22 9 794
17 12 108
35 3 556
6 42 10
16 6 418
8 39 955
4 11 247
32 6 792
37 25 33
41 28 653
24 8 255
13 28 352
5 27 717
32 1 913
38 8 95
10 42 85
35 39 36
40 34 356
5 30 123
10 38 348
24 4 929
3 30 568
14 12 309
3 32 845
37 35 563
25 32 455
10 35 474
13 14 74
9 25 908
41 10 107
11 35 487
14 40 946
24 23 905
33 40 557
19 5 663
31 11 640
7 10 748
2 12 631
41 5 154
23 20 655
41 16 38
26 35 986
31 32 601
42 32 929
13 25 632
9 4 877
18 36 402
10 3 552
6 40 201
1 17 698
30 12 943
27 12 944
25 9 650
17 29 291
37 1 796
28 16 871
16 2 539
23 32 990
22 32 24
32 23 306
26 25 852
11 27 520
18 26 205
4 8 389
5 26 684
27 42 155
33 21 636
4 38 216
35 5 686
15 40 853
26 31 425
4 30 155
41 6 994
21 29 477
21 34 498
16 17 634
37 2 59
37 10 733
25 36 901
2 29 558
24 40 746
22 21 528
24 39 635
24 16 67
10 4 222
4 10 814
38 9 720
12 34 433
13 7 631
28 27 888
10 34 310
3 25 41
10 20 211
9 41 248
27 31 971
1 7 182
17 27 692
11 41 187
36 33 945
8 2 476
10 12 21
9 10 925
2 13 179
34 40 950
26 8 775
19 14 639
12 37 248
39 18 755
4 28 756
12 20 894
24 1 892
32 36 671
39 41 159
42 2 874
27 40 181
42 16 334
40 42 855
38 13 629
18 11 892
39 2 95
7 29 539
8 25 636
22 28 846
16 29 883
14 7 206
20 3 907
7 2 66
15 37 34
33 4 298
21 32 416
15 20 82
37 15 169
26 38 292
19 41 269
39 16 491
20 2 825
32 10 248
34 2 478
30 2 308
27 33 886
25 40 445
19 39 421
29 33 646
35 38 800
14 4 114
7 26 384
8 4 502
8 24 103
4 37 374
4 23 267
23 15 735
10 8 732
24 19 733
35 16 302
17 35 27
4 6 890
18 27 410
13 3 245
38 37 309
8 11 634
23 30 133
36 11 91
42 41 196
30 22 980
13 5 35
16 20 748
39 9 682
3 11 19
39 6 712
5 24 197
18 15 382
19 3 675
22 39 360
25 8 172
33 8 95
23 16 885
15 31 994
31 35 634
33 37 659
9 21 497
14 20 678
12 13 511
21 9 156
20 30 411
38 15 410
27 1 7
2 1 934
38 2 108
19 42 718
35 17 503
42 37 115
13 30 16
29 4 492
5 9 480
25 20 964
15 8 653
23 19 543
35 37 698
19 11 161
33 11 257
37 32 703
8 23 728
41 21 679
36 29 152
31 1 895
3 4 758
41 31 627
26 30 43
24 17 556
7 24 441
22 36 898
30 8 668
3 13 593
22 23 994
1 34 9
30 5 121
28 12 908
16 12 604
32 27 185
11 6 161
22 24 359
5 7 703
1 26 76
20 14 561
14 19 525
12 7 339
30 35 775
18 8 117
19 13 621
6 18 930
9 20 299
27 6 529
41 34 791
11 34 665
36 32 723
39 21 73
14 28 613
40 3 181
14 41 453
39 3 855
27 17 248
13 8 263
25 42 286
7 32 71
22 16 168
4 32 885
1 4 921
31 27 474
26 27 614
18 17 214
28 21 399
4 22 779
29 12 237
18 9 332
33 12 732
10 7 395
20 9 571
39 35 271
7 38 662
18 28 920
24 21 590
13 27 728
33 20 670
11 33 229
20 42 717
31 40 829
40 22 228
29 27 144
40 1 639
21 30 871
4 36 127
6 21 296
17 28 127
28 22 546
36 5 948
42 9 848
26 17 698
14 39 756
1 40 762
20 36 7
35 30 511
15 22 954
20 12 277
37 16 487
7 34 380
34 17 315
15 41 711
31 13 807
30 6 275
4 18 583
8 9 916
26 22 426
23 31 684
10 18 969
5 3 505
36 41 775
32 4 123
31 26 380
25 12 863
29 15 429
4 27 565
9 15 962
28 24 995
42 14 7
18 24 108
2 21 151
24 41 632
21 13 281
17 41 466
22 14 337
21 31 205
42 6 268
41 23 584
6 31 227
24 7 47
15 5 352
40 38 386
39 8 24
26 41 214
35 10 142
28 11 353
28 10 996
22 33 286
33 35 572
5 18 513
21 26 597
13 19 584
9 2 13
10 14 385
2 19 873
35 6 98
39 42 389
29 40 98
39 17 522
23 27 32
23 41 664
13 26 63
39 11 429
19 28 128
9 23 945
13 1 581
5 38 152
10 5 215
25 28 519
2 26 356
3 29 940
36 35 933
34 22 148
15 9 123
42 12 4
32 7 558
6 23 856
38 16 728
9 39 972
38 28 319
38 39 620
14 8 45
16 27 306
21 39 961
34 26 292
25 26 563
23 3 617
40 14 748
8 12 793
6 28 527
1 33 364
37 4 525
33 34 523
11 2 950
13 42 779
38 35 451
2 3 414
27 23 842
4 13 957
26 7 694
34 3 276
11 13 422
40 4 736
32 15 855
21 5 783
40 24 479
10 6 205
17 18 916
17 11 114
27 15 527
23 2 898
3 27 198
6 35 457
17 39 20
41 18 393
10 13 243
22 15 343
22 6 953
9 3 363
25 3 711
28 20 126
34 12 377
38 34 798
39 33 396
27 35 487
31 39 123
13 31 140
24 33 555
13 20 41
23 37 383
5 34 793
5 33 5
42 4 66
35 33 611
31 42 263
13 24 959
39 22 838
19 33 384
35 11 28
13 10 516
3 42 29
8 16 458
23 34 768
14 34 990
22 34 807
42 29 151
12 6 409
16 10 73
31 37 913
26 1 855
26 13 224
28 41 709
35 19 322
3 36 722
31 28 850
11 3 27
32 8 667
41 22 428
36 12 434
29 9 139
38 20 596
18 14 818
29 22 552
33 3 784
30 41 6
16 28 441
36 19 902
34 28 761
40 5 773
1 18 378
24 15 762
2 10 975
33 2 59
20 5 865
15 17 158
10 16 546
36 20 59
38 36 790
18 21 177
17 25 399
13 34 156
5 16 265
28 2 860
36 37 60
36 17 47
40 15 424
10 30 750
39 38 362
17 31 333
23 8 651
18 29 754
36 31 344
2 18 152
7 25 851
22 7 304
37 20 653
2 25 871
32 19 932
12 35 779
37 34 192
22 19 357
19 24 38
6 22 592
31 22 625
35 27 895
41 29 295
39 1 921
37 17 295
18 41 174
25 39 227
7 16 817
40 19 561
3 40 122
18 39 792
38 12 826
6 34 206
23 5 974
9 7 927
16 25 480
10 26 578
39 4 394
12 14 845
24 18 645
28 18 886
14 15 634
40 10 868
14 13 401
27 10 607
26 5 543
14 5 777
13 12 468
22 37 654
34 1 99
31 29 200
24 22 198
25 14 690
36 30 393
2 36 648
15 39 300
14 9 224
12 32 426
8 15 654
8 17 430
16 31 560
42 23 340
3 41 13
8 32 279
8 22 389
28 19 527
2 27 596
23 13 557
33 5 230
25 37 118
13 6 386
34 16 710
30 39 62
4 29 287
11 12 308
3 8 47
14 36 244
25 16 108
23 29 467
6 24 543
26 2 731
11 7 530
24 20 277
34 36 394
17 2 252
1 9 776
22 38 671
34 4 243
21 1 46
7 13 449
5 19 874
39 5 936
26 23 177
11 17 386
2 14 904
27 8 269
16 42 259
29 28 568
39 28 555
33 6 316
8 14 305
5 37 961
25 33 219
35 7 500
16 21 456
10 9 344
31 9 303
16 39 533
12 23 406
25 1 946
5 6 205
15 3 484
38 18 868
8 1 129
22 35 397
40 8 957
28 40 969
4 17 108
6 14 584
12 36 884
31 30 873
17 7 863
41 17 68
32 12 915
3 10 876
12 38 290
33 10 58
29 13 149
2 42 769
33 23 307
1 3 405
18 35 79
26 42 838
23 35 829
20 19 367
32 34 910
6 41 186
18 22 996
38 21 436
38 33 25
41 14 783
31 38 17
37 27 738
7 20 689
42 13 834
8 29 486
42 24 504
35 26 759
15 4 821
13 32 606
16 5 712
11 4 137
39 24 358
34 11 675
18 32 47
15 32 755
11 30 832
6 13 740
2 34 414
41 40 495
20 33 327
38 4 396
24 9 715
39 25 417
16 34 839
14 3 151
32 9 900
20 21 277
2 15 614
6 4 462
35 32 347
13 40 649
5 36 840
40 41 156
32 24 109
26 28 115
8 34 583
14 23 872
32 25 576
11 20 681
9 24 713
8 6 490
7 17 109
38 40 213
5 32 572
20 6 201
11 40 532
30 42 923
31 19 203
37 24 26
22 42 831
37 28 9
3 34 966
13 4 215
28 26 22
27 36 396
1 36 475
29 5 871
33 27 804
30 23 568
39 31 71
5 11 100
5 23 674
39 10 572
5 29 62
34 35 274
38 11 311
38 6 231
23 42 581
10 33 529
34 41 765
35 20 408
8 30 292
40 25 642
28 39 575
1 22 911
16 37 455
3 1 920
20 10 895
42 5 875
35 24 310
27 4 460
8 36 113
20 29 301
13 23 761
17 22 125
33 25 801
28 13 480
25 24 215
21 28 864
28 37 331
7 1 449
39 29 878
35 29 235
39 13 944
40 21 909
17 16 318
14 21 997
29 11 34
39 30 363
23 4 962
9 8 495
32 18 954
28 14 200
32 13 440
16 22 528
31 34 114
41 38 642
34 27 922
19 4 443
33 28 11
18 33 354
47 1970
32 16 151
45 35 481
28 8 610
45 37 31
6 36 336
30 43 512
6 17 892
8 3 739
41 36 747
29 38 821
25 5 570
47 37 18
24 9 133
26 45 266
29 5 431
24 13 516
19 2 920
14 31 313
35 16 927
44 43 106
38 15 382
16 23 246
40 21 569
13 38 114
25 13 879
30 4 9
3 17 697
16 36 357
38 20 434
33 17 514
47 18 728
38 34 480
43 40 344
14 4 241
37 38 372
30 18 309
5 36 630
17 30 885
18 33 898
26 41 771
39 33 210
37 7 997
47 41 723
7 10 58
11 32 273
8 20 383
3 8 352
3 41 27
46 13 29
37 24 77
9 46 133
17 15 413
44 22 45
45 25 590
7 5 108
5 26 281
44 17 582
40 31 811
10 26 841
33 15 895
40 9 400
3 37 951
6 14 501
13 34 552
2 11 491
34 28 779
19 41 407
33 28 582
32 45 133
14 24 79
38 43 175
11 40 540
46 47 54
41 11 205
43 2 219
34 24 904
16 28 938
29 8 295
10 31 842
28 3 68
28 11 629
16 37 536
44 40 271
26 16 834
38 45 776
1 4 341
11 27 743
7 21 723
28 44 636
12 17 28
17 3 699
37 8 369
29 11 139
30 6 73
7 30 62
4 27 833
44 46 978
31 40 110
30 11 508
13 5 384
47 21 445
16 43 930
41 42 209
9 15 378
37 47 398
20 5 22
35 38 815
23 18 884
23 12 474
14 26 864
36 27 355
35 20 332
26 24 727
28 24 685
41 3 49
12 31 105
44 30 568
22 1 794
9 23 188
26 29 231
41 24 625
23 10 60
20 43 840
2 32 92
12 3 904
36 34 443
10 16 856
21 8 596
4 29 459
20 38 466
44 5 419
9 10 361
7 33 51
39 28 963
47 20 379
46 6 405
13 4 815
1 5 722
38 39 936
6 15 478
25 24 319
12 39 457
37 20 137
22 21 439
40 43 25
5 43 797
23 13 669
43 34 552
44 37 183
36 46 711
28 39 656
23 42 266
6 22 352
39 45 327
17 6 697
9 27 371
21 7 731
18 26 828
11 13 484
16 26 997
17 24 693
36 26 604
19 24 83
25 9 211
19 32 219
9 17 604
16 18 973
38 8 928
17 39 119
2 36 3
41 23 737
31 16 394
40 36 567
19 12 371
20 23 291
2 12 29
34 29 782
20 25 623
41 12 233
22 23 550
20 27 469
44 3 869
39 34 424
37 3 336
34 6 883
5 23 1000
35 45 891
37 40 181
46 4 743
42 15 415
35 36 114
32 3 946
18 38 640
39 24 516
37 21 740
36 9 197
33 29 250
6 41 850
14 38 2
29 20 813
42 5 956
44 9 246
14 25 868
40 29 520
16 40 133
35 9 574
40 46 944
11 10 215
11 21 295
27 15 69
32 44 820
20 47 805
43 3 835
10 5 741
37 5 881
9 24 902
32 37 805
18 37 792
47 45 152
33 26 54
2 16 534
5 37 876
24 25 588
23 11 21
42 40 155
2 46 689
8 18 946
3 13 952
4 37 915
6 31 115
15 6 931
46 39 818
39 13 308
38 24 768
20 41 596
25 46 468
18 27 299
21 26 119
23 30 879
33 21 220
10 42 696
37 26 62
40 14 52
34 45 305
18 43 885
12 10 219
36 1 134
12 44 104
15 34 778
12 5 973
8 10 810
16 41 406
37 27 34
6 5 854
28 36 501
13 27 217
9 37 654
26 27 42
34 35 586
26 21 757
19 20 436
18 41 108
10 45 969
14 46 308
24 5 593
28 2 773
14 10 594
42 32 690
32 17 581
11 22 63
18 25 686
40 30 976
23 43 25
42 19 342
24 33 913
24 8 276
1 9 276
8 4 235
42 6 585
32 11 449
24 12 23
21 10 48
34 39 717
3 29 534
38 19 361
42 24 200
7 17 6
5 45 378
20 12 766
39 38 589
43 29 933
25 6 133
46 32 94
12 32 892
31 1 952
5 29 315
23 26 722
38 26 678
17 42 254
4 17 364
16 4 851
19 37 846
18 32 576
37 23 814
21 2 598
37 39 536
47 22 672
26 23 461
21 45 869
14 28 321
9 34 801
13 28 611
34 27 88
47 40 722
19 13 575
6 3 206
33 13 415
37 11 675
1 15 743
35 18 828
37 29 626
26 43 999
31 25 573
5 44 786
28 41 279
8 34 816
13 14 785
19 18 98
25 4 989
27 23 265
9 40 963
42 30 27
15 7 290
43 45 979
21 22 706
43 23 862
20 37 697
20 13 612
24 6 240
28 4 847
40 10 24
35 6 309
8 29 786
8 39 286
21 23 573
9 11 540
21 11 483
28 6 517
34 18 338
29 16 325
12 24 957
23 19 478
32 22 773
15 20 989
45 2 651
9 30 525
10 21 653
29 45 564
40 12 249
2 47 481
33 3 342
5 31 480
24 27 448
47 16 814
3 43 439
42 45 721
15 21 803
32 43 991
35 10 932
33 20 378
1 45 148
27 36 591
40 19 351
17 5 317
39 10 815
29 3 313
47 5 547
41 18 409
5 27 84
5 20 805
8 16 338
20 21 998
18 44 338
21 31 103
10 22 549
10 6 84
44 11 719
2 18 370
1 29 404
47 10 346
28 12 972
8 19 924
5 47 216
5 35 653
7 6 847
45 41 572
24 29 531
6 13 413
22 31 820
28 5 592
5 6 946
43 12 803
30 37 285
19 4 557
42 34 356
41 21 294
18 6 215
27 2 977
45 28 774
1 36 857
5 40 265
42 27 884
7 16 932
33 31 67
9 43 611
34 2 379
42 16 252
8 45 223
27 34 550
37 28 162
31 12 778
31 43 415
41 22 466
12 47 147
17 2 680
19 17 191
44 39 506
31 8 164
10 41 101
45 32 334
32 10 887
47 46 613
34 36 582
6 30 137
7 3 901
32 47 556
11 23 38
39 42 431
17 43 740
24 4 166
21 25 771
4 6 829
22 37 165
3 33 402
33 43 514
36 23 291
33 46 800
3 7 652
29 9 647
11 25 218
27 24 372
22 29 135
22 11 951
41 6 361
17 8 13
13 6 819
37 25 100
32 39 294
24 3 491
37 13 219
26 9 539
15 13 895
40 2 815
29 40 591
10 20 360
28 29 882
39 18 699
30 10 198
42 7 645
1 17 572
35 17 30
47 33 620
11 17 641
4 2 474
8 35 489
21 6 608
23 34 169
44 18 998
27 9 48
46 5 656
14 30 623
30 38 222
37 33 542
11 33 627
5 9 910
8 32 909
23 37 30
11 26 575
11 29 504
13 32 503
28 14 466
31 34 641
5 12 72
26 5 956
28 42 732
4 8 440
31 5 767
35 34 991
11 5 133
44 28 112
31 29 470
23 36 866
27 30 919
6 46 866
18 3 876
26 37 497
43 33 910
13 29 788
38 31 574
44 38 736
38 23 572
33 22 52
15 22 242
12 40 563
46 21 559
18 4 567
28 18 851
22 27 883
19 22 930
19 28 835
31 2 175
36 44 371
25 18 255
23 17 616
7 46 311
2 43 993
9 5 232
15 31 628
2 22 389
17 29 222
26 15 290
8 22 328
21 19 266
16 22 677
22 5 332
10 14 325
9 33 208
14 18 895
41 26 628
5 32 478
41 10 568
9 4 202
44 13 81
24 42 353
43 31 728
27 45 367
30 32 459
3 24 818
44 8 132
29 26 499
17 46 550
24 43 602
10 12 953
15 3 665
17 26 890
17 27 188
27 4 680
23 22 437
9 29 397
14 42 501
3 27 890
14 22 666
20 36 430
13 24 355
6 45 662
42 39 540
33 10 516
46 42 266
34 30 957
20 39 223
25 36 563
31 45 349
39 47 354
14 35 324
18 2 306
26 31 13
13 23 750
25 10 446
43 37 183
19 8 915
22 32 99
32 5 159
22 26 591
23 21 804
26 8 634
47 13 310
27 43 656
1 32 457
18 36 775
21 1 880
40 23 448
5 41 457
23 4 352
13 42 299
17 19 941
6 28 325
3 30 137
13 46 446
11 44 827
32 42 436
3 46 758
39 44 625
44 7 997
37 12 894
40 32 349
28 31 259
44 10 31
42 9 943
25 22 835
16 12 787
15 26 341
1 46 482
11 24 451
36 42 417
41 17 623
13 43 414
36 24 476
42 38 324
41 25 755
1 10 691
7 15 594
9 13 570
7 40 189
39 7 558
12 43 73
35 28 740
42 8 33
35 32 49
1 3 972
11 16 365
26 40 281
34 1 72
42 28 644
4 10 484
7 13 425
16 1 299
27 42 143
26 25 994
7 4 558
42 23 361
3 47 613
25 34 424
19 7 180
21 33 210
20 42 18
38 40 751
34 13 280
2 1 159
14 3 199
2 38 102
36 20 645
26 14 132
18 34 402
10 28 9
9 42 988
31 6 728
39 46 896
39 23 258
19 3 745
46 26 181
